image_id,object_names,object_ids
1,"['parking meter', 'clock', 'car']","[12, 74, 2]"
2,"['backpack', 'car']","[24, 2]"
3,"['keyboard', 'mouse']","[66, 64]"
4,"['chair', 'couch', 'teddy bear']","[56, 57, 77]"
5,"['chair', 'keyboard']","[56, 66]"
6,"['bottle', 'fork', 'bowl', 'chair', 'apple']","[39, 42, 45, 56, 47]"
7,"['keyboard', 'mouse', 'chair', 'book', 'laptop']","[66, 64, 56, 73, 63]"
8,"['keyboard', 'cup', 'mouse', 'chair', 'book']","[66, 41, 64, 56, 73]"
9,"['chair', 'bottle', 'keyboard', 'book']","[56, 39, 66, 73]"
10,"['chair', 'bottle', 'keyboard', 'cup']","[56, 39, 66, 41]"
11,"['keyboard', 'cup', 'mouse', 'bowl', 'chair']","[66, 41, 64, 45, 56]"
12,"['cup', 'mouse']","[41, 64]"
13,"['scissors', 'keyboard', 'cup', 'mouse', 'chair', 'book']","[76, 66, 41, 64, 56, 73]"
14,"['bottle', 'book']","[39, 73]"
15,"['keyboard', 'mouse']","[66, 64]"
16,"['parking meter', 'car']","[12, 2]"
17,"['chair', 'keyboard', 'mouse', 'laptop']","[56, 66, 64, 63]"
18,"['chair', 'bottle', 'keyboard', 'mouse']","[56, 39, 66, 64]"
19,"['chair', 'keyboard', 'mouse']","[56, 66, 64]"
20,"['bottle', 'keyboard', 'mouse', 'chair', 'book']","[39, 66, 64, 56, 73]"
21,"['couch', 'person']","[57, 0]"
22,"['stop sign', 'train', 'car']","[11, 6, 2]"
23,"['person', 'car']","[0, 2]"
24,"['bottle', 'bicycle', 'car']","[39, 1, 2]"
25,"['umbrella', 'chair', 'person', 'car']","[25, 56, 0, 2]"
26,"['car', 'bus']","[2, 5]"
27,['chair'],[56]
28,"['couch', 'vase', 'bowl', 'book']","[57, 75, 45, 73]"
29,['boat'],[8]
30,"['chair', 'tv', 'remote']","[56, 62, 65]"
31,"['oven', 'sink', 'knife']","[69, 71, 43]"
32,"['refrigerator', 'sink']","[72, 71]"
33,"['couch', 'bottle']","[57, 39]"
34,"['chair', 'cup', 'mouse']","[56, 41, 64]"
35,['keyboard'],[66]
36,"['bottle', 'cup', 'vase', 'bowl', 'sink']","[39, 41, 75, 45, 71]"
37,"['chair', 'couch', 'vase', 'bowl']","[56, 57, 75, 45]"
38,['vase'],[75]
39,"['chair', 'vase']","[56, 75]"
40,"['chair', 'person', 'vase']","[56, 0, 75]"
41,"['cup', 'knife', 'bowl']","[41, 43, 45]"
42,"['couch', 'refrigerator', 'chair', 'tv', 'book']","[57, 72, 56, 62, 73]"
43,['tv'],[62]
44,"['chair', 'book']","[56, 73]"
45,"['parking meter', 'car']","[12, 2]"
46,"['person', 'car']","[0, 2]"
47,"['umbrella', 'person', 'clock', 'car']","[25, 0, 74, 2]"
48,['tie'],[27]
49,['car'],[2]
50,"['keyboard', 'cup', 'book']","[66, 41, 73]"
52,['boat'],[8]
53,"['traffic light', 'motorcycle', 'car', 'person']","[9, 3, 2, 0]"
54,"['person', 'car']","[0, 2]"
55,"['bicycle', 'person', 'bus']","[1, 0, 5]"
57,"['person', 'car']","[0, 2]"
58,['handbag'],[26]
59,"['car', 'backpack', 'person', 'motorcycle', 'truck']","[2, 24, 0, 3, 7]"
61,"['car', 'truck']","[2, 7]"
62,"['person', 'car', 'truck']","[0, 2, 7]"
63,"['fork', 'knife']","[42, 43]"
64,['person'],[0]
65,"['car', 'truck']","[2, 7]"
66,['tv'],[62]
67,"['oven', 'vase']","[69, 75]"
68,"['tv', 'laptop']","[62, 63]"
70,"['chair', 'suitcase', 'person']","[56, 28, 0]"
71,['bowl'],[45]
72,"['fork', 'cake', 'person']","[42, 55, 0]"
73,"['bottle', 'fork', 'chair', 'wine glass', 'tie']","[39, 42, 56, 40, 27]"
74,"['chair', 'tv']","[56, 62]"
75,"['oven', 'sink']","[69, 71]"
76,['chair'],[56]
77,"['chair', 'mouse']","[56, 64]"
78,"['chair', 'keyboard', 'mouse']","[56, 66, 64]"
79,"['chair', 'couch']","[56, 57]"
80,['microwave'],[68]
82,"['refrigerator', 'oven', 'sink']","[72, 69, 71]"
83,"['person', 'mouse', 'book']","[0, 64, 73]"
84,"['bed', 'vase', 'book']","[59, 75, 73]"
85,"['chair', 'couch', 'apple']","[56, 57, 47]"
86,"['person', 'train', 'book']","[0, 6, 73]"
88,"['chair', 'vase', 'book']","[56, 75, 73]"
89,"['chair', 'couch', 'vase']","[56, 57, 75]"
90,"['couch', 'bench', 'chair', 'dining table', 'bicycle', 'sink', 'tv']","[57, 13, 56, 60, 1, 71, 62]"
92,"['spoon', 'banana', 'fork', 'bowl', 'knife']","[44, 46, 42, 45, 43]"
93,"['spoon', 'knife']","[44, 43]"
94,"['knife', 'orange']","[43, 49]"
95,"['fork', 'spoon', 'knife']","[42, 44, 43]"
96,"['spoon', 'cup', 'fork', 'chair', 'knife']","[44, 41, 42, 56, 43]"
97,['knife'],[43]
98,"['fork', 'cup']","[42, 41]"
100,['remote'],[65]
101,"['car', 'boat']","[2, 8]"
102,['car'],[2]
103,"['fire hydrant', 'car']","[10, 2]"
104,"['bicycle', 'car']","[1, 2]"
105,"['backpack', 'car', 'truck']","[24, 2, 7]"
106,['truck'],[7]
107,"['chair', 'keyboard', 'mouse', 'book']","[56, 66, 64, 73]"
108,"['person', 'car', 'truck', 'traffic light']","[0, 2, 7, 9]"
109,"['bicycle', 'car']","[1, 2]"
110,['chair'],[56]
111,"['bottle', 'orange', 'bowl']","[39, 49, 45]"
112,"['chair', 'keyboard']","[56, 66]"
113,"['person', 'car']","[0, 2]"
115,"['tie', 'couch', 'handbag']","[27, 57, 26]"
116,['person'],[0]
117,['bed'],[59]
118,['book'],[73]
119,"['chair', 'orange', 'bowl']","[56, 49, 45]"
120,['chair'],[56]
121,['book'],[73]
122,"['bowl', 'refrigerator', 'chair', 'oven', 'knife']","[45, 72, 56, 69, 43]"
124,"['sink', 'bowl']","[71, 45]"
126,"['person', 'bus']","[0, 5]"
