image_id,object_names,object_ids
1,['parking meter'],12
1,['clock'],74
1,['car'],2
2,['backpack'],24
2,['car'],2
3,['keyboard'],66
3,['mouse'],64
4,['chair'],56
4,['couch'],57
4,['teddy bear'],77
5,['chair'],56
5,['keyboard'],66
6,['bottle'],39
6,['fork'],42
6,['bowl'],45
6,['chair'],56
6,['apple'],47
7,['keyboard'],66
7,['mouse'],64
7,['chair'],56
7,['book'],73
7,['laptop'],63
8,['keyboard'],66
8,['cup'],41
8,['mouse'],64
8,['chair'],56
8,['book'],73
9,['chair'],56
9,['bottle'],39
9,['keyboard'],66
9,['book'],73
10,['chair'],56
10,['bottle'],39
10,['keyboard'],66
10,['cup'],41
11,['keyboard'],66
11,['cup'],41
11,['mouse'],64
11,['bowl'],45
11,['chair'],56
12,['cup'],41
12,['mouse'],64
13,['scissors'],76
13,['keyboard'],66
13,['cup'],41
13,['mouse'],64
13,['chair'],56
13,['book'],73
14,['bottle'],39
14,['book'],73
15,['keyboard'],66
15,['mouse'],64
16,['parking meter'],12
16,['car'],2
17,['chair'],56
17,['keyboard'],66
17,['mouse'],64
17,['laptop'],63
18,['chair'],56
18,['bottle'],39
18,['keyboard'],66
18,['mouse'],64
19,['chair'],56
19,['keyboard'],66
19,['mouse'],64
20,['bottle'],39
20,['keyboard'],66
20,['mouse'],64
20,['chair'],56
20,['book'],73
21,['couch'],57
21,['person'],0
22,['stop sign'],11
22,['train'],6
22,['car'],2
23,['person'],0
23,['car'],2
24,['bottle'],39
24,['bicycle'],1
24,['car'],2
25,['umbrella'],25
25,['chair'],56
25,['person'],0
25,['car'],2
26,['car'],2
26,['bus'],5
27,['chair'],56
28,['couch'],57
28,['vase'],75
28,['bowl'],45
28,['book'],73
29,['boat'],8
30,['chair'],56
30,['tv'],62
30,['remote'],65
31,['oven'],69
31,['sink'],71
31,['knife'],43
32,['refrigerator'],72
32,['sink'],71
33,['couch'],57
33,['bottle'],39
34,['chair'],56
34,['cup'],41
34,['mouse'],64
35,['keyboard'],66
36,['bottle'],39
36,['cup'],41
36,['vase'],75
36,['bowl'],45
36,['sink'],71
37,['chair'],56
37,['couch'],57
37,['vase'],75
37,['bowl'],45
38,['vase'],75
39,['chair'],56
39,['vase'],75
40,['chair'],56
40,['person'],0
40,['vase'],75
41,['cup'],41
41,['knife'],43
41,['bowl'],45
42,['couch'],57
42,['refrigerator'],72
42,['chair'],56
42,['tv'],62
42,['book'],73
43,['tv'],62
44,['chair'],56
44,['book'],73
45,['parking meter'],12
45,['car'],2
46,['person'],0
46,['car'],2
47,['umbrella'],25
47,['person'],0
47,['clock'],74
47,['car'],2
48,['tie'],27
49,['car'],2
50,['keyboard'],66
50,['cup'],41
50,['book'],73
52,['boat'],8
53,['traffic light'],9
53,['motorcycle'],3
53,['car'],2
53,['person'],0
54,['person'],0
54,['car'],2
55,['bicycle'],1
55,['person'],0
55,['bus'],5
57,['person'],0
57,['car'],2
58,['handbag'],26
59,['car'],2
59,['backpack'],24
59,['person'],0
59,['motorcycle'],3
59,['truck'],7
61,['car'],2
61,['truck'],7
62,['person'],0
62,['car'],2
62,['truck'],7
63,['fork'],42
63,['knife'],43
64,['person'],0
65,['car'],2
65,['truck'],7
66,['tv'],62
67,['oven'],69
67,['vase'],75
68,['tv'],62
68,['laptop'],63
70,['chair'],56
70,['suitcase'],28
70,['person'],0
71,['bowl'],45
72,['fork'],42
72,['cake'],55
72,['person'],0
73,['bottle'],39
73,['fork'],42
73,['chair'],56
73,['wine glass'],40
73,['tie'],27
74,['chair'],56
74,['tv'],62
75,['oven'],69
75,['sink'],71
76,['chair'],56
77,['chair'],56
77,['mouse'],64
78,['chair'],56
78,['keyboard'],66
78,['mouse'],64
79,['chair'],56
79,['couch'],57
80,['microwave'],68
82,['refrigerator'],72
82,['oven'],69
82,['sink'],71
83,['person'],0
83,['mouse'],64
83,['book'],73
84,['bed'],59
84,['vase'],75
84,['book'],73
85,['chair'],56
85,['couch'],57
85,['apple'],47
86,['person'],0
86,['train'],6
86,['book'],73
88,['chair'],56
88,['vase'],75
88,['book'],73
89,['chair'],56
89,['couch'],57
89,['vase'],75
90,['couch'],57
90,['bench'],13
90,['chair'],56
90,['dining table'],60
90,['bicycle'],1
90,['sink'],71
90,['tv'],62
92,['spoon'],44
92,['banana'],46
92,['fork'],42
92,['bowl'],45
92,['knife'],43
93,['spoon'],44
93,['knife'],43
94,['knife'],43
94,['orange'],49
95,['fork'],42
95,['spoon'],44
95,['knife'],43
96,['spoon'],44
96,['cup'],41
96,['fork'],42
96,['chair'],56
96,['knife'],43
97,['knife'],43
98,['fork'],42
98,['cup'],41
100,['remote'],65
101,['car'],2
101,['boat'],8
102,['car'],2
103,['fire hydrant'],10
103,['car'],2
104,['bicycle'],1
104,['car'],2
105,['backpack'],24
105,['car'],2
105,['truck'],7
106,['truck'],7
107,['chair'],56
107,['keyboard'],66
107,['mouse'],64
107,['book'],73
108,['person'],0
108,['car'],2
108,['truck'],7
108,['traffic light'],9
109,['bicycle'],1
109,['car'],2
110,['chair'],56
111,['bottle'],39
111,['orange'],49
111,['bowl'],45
112,['chair'],56
112,['keyboard'],66
113,['person'],0
113,['car'],2
115,['tie'],27
115,['couch'],57
115,['handbag'],26
116,['person'],0
117,['bed'],59
118,['book'],73
119,['chair'],56
119,['orange'],49
119,['bowl'],45
120,['chair'],56
121,['book'],73
122,['bowl'],45
122,['refrigerator'],72
122,['chair'],56
122,['oven'],69
122,['knife'],43
124,['sink'],71
124,['bowl'],45
126,['person'],0
126,['bus'],5
127,['umbrella'],25
127,['person'],0
127,['car'],2
128,['person'],0
129,['umbrella'],25
129,['car'],2
131,['bench'],13
131,['person'],0
132,['umbrella'],25
132,['car'],2
134,['zebra'],22
135,['umbrella'],25
135,['person'],0
136,['bench'],13
136,['person'],0
137,['bicycle'],1
137,['car'],2
137,['person'],0
138,['person'],0
138,['car'],2
142,['bench'],13
142,['person'],0
143,['person'],0
143,['car'],2
144,['boat'],8
145,['car'],2
147,['car'],2
148,['person'],0
149,['parking meter'],12
149,['car'],2
150,['person'],0
151,['spoon'],44
151,['bowl'],45
152,['chair'],56
152,['bottle'],39
152,['tie'],27
152,['person'],0
153,['chair'],56
153,['bottle'],39
153,['cup'],41
153,['toaster'],70
154,['toaster'],70
155,['toaster'],70
155,['cup'],41
155,['apple'],47
156,['chair'],56
161,['person'],0
161,['truck'],7
162,['bowl'],45
164,['person'],0
166,['car'],2
167,['chair'],56
168,['umbrella'],25
169,['donut'],54
170,['bottle'],39
171,['car'],2
172,['chair'],56
173,['chair'],56
173,['person'],0
174,['bed'],59
174,['tv'],62
175,['bus'],5
176,['umbrella'],25
177,['chair'],56
178,['bench'],13
178,['vase'],75
180,['chair'],56
181,['chair'],56
182,['microwave'],68
183,['chair'],56
183,['oven'],69
184,['chair'],56
184,['couch'],57
184,['vase'],75
185,['chair'],56
186,['bowl'],45
187,['bowl'],45
190,['bench'],13
192,['person'],0
192,['car'],2
193,['chair'],56
195,['cake'],55
195,['couch'],57
195,['knife'],43
198,['bench'],13
198,['car'],2
