image_id,object_names,object_ids
1,"['parking meter', 'clock', 'car']","[12, 73, 2]"
2,"['backpack', 'car']","[24, 2]"
3,"['keyboard', 'mouse']","[65, 63]"
4,"['chair', 'couch', 'teddy bear']","[55, 56, 76]"
5,"['chair', 'keyboard']","[55, 65]"
6,"['bottle', 'fork', 'bowl', 'chair', 'apple']","[38, 41, 44, 55, 46]"
7,"['keyboard', 'mouse', 'chair', 'book', 'laptop']","[65, 63, 55, 72, 62]"
8,"['keyboard', 'cup', 'mouse', 'chair', 'book']","[65, 40, 63, 55, 72]"
9,"['chair', 'bottle', 'keyboard', 'book']","[55, 38, 65, 72]"
10,"['chair', 'bottle', 'keyboard', 'cup']","[55, 38, 65, 40]"
11,"['keyboard', 'cup', 'mouse', 'bowl', 'chair']","[65, 40, 63, 44, 55]"
12,"['cup', 'mouse']","[40, 63]"
13,"['scissors', 'keyboard', 'cup', 'mouse', 'chair', 'book']","[75, 65, 40, 63, 55, 72]"
14,"['bottle', 'book']","[38, 72]"
15,"['keyboard', 'mouse']","[65, 63]"
16,"['parking meter', 'car']","[12, 2]"
17,"['chair', 'keyboard', 'mouse', 'laptop']","[55, 65, 63, 62]"
18,"['chair', 'bottle', 'keyboard', 'mouse']","[55, 38, 65, 63]"
19,"['chair', 'keyboard', 'mouse']","[55, 65, 63]"
20,"['bottle', 'keyboard', 'mouse', 'chair', 'book']","[38, 65, 63, 55, 72]"
21,"['couch', 'person']","[56, 0]"
22,"['stop sign', 'train', 'car']","[11, 6, 2]"
23,"['person', 'car']","[0, 2]"
24,"['bottle', 'bicycle', 'car']","[38, 1, 2]"
25,"['umbrella', 'chair', 'person', 'car']","[25, 55, 0, 2]"
26,"['car', 'bus']","[2, 5]"
27,['chair'],[55]
28,"['couch', 'vase', 'bowl', 'book']","[56, 74, 44, 72]"
29,['boat'],[8]
30,"['chair', 'tv', 'remote']","[55, 61, 64]"
31,"['oven', 'sink', 'knife']","[68, 70, 42]"
32,"['refrigerator', 'sink']","[71, 70]"
33,"['couch', 'bottle']","[56, 38]"
34,"['chair', 'cup', 'mouse']","[55, 40, 63]"
35,['keyboard'],[65]
36,"['bottle', 'cup', 'vase', 'bowl', 'sink']","[38, 40, 74, 44, 70]"
37,"['chair', 'couch', 'vase', 'bowl']","[55, 56, 74, 44]"
38,['vase'],[74]
39,"['chair', 'vase']","[55, 74]"
40,"['chair', 'person', 'vase']","[55, 0, 74]"
41,"['cup', 'knife', 'bowl']","[40, 42, 44]"
42,"['couch', 'refrigerator', 'chair', 'tv', 'book']","[56, 71, 55, 61, 72]"
43,['tv'],[61]
44,"['chair', 'book']","[55, 72]"
45,"['parking meter', 'car']","[12, 2]"
46,"['person', 'car']","[0, 2]"
47,"['umbrella', 'person', 'clock', 'car']","[25, 0, 73, 2]"
48,['tie'],[27]
49,['car'],[2]
50,"['keyboard', 'cup', 'book']","[65, 40, 72]"
52,['boat'],[8]
53,"['traffic light', 'motorcycle', 'car', 'person']","[9, 3, 2, 0]"
54,"['person', 'car']","[0, 2]"
55,"['bicycle', 'person', 'bus']","[1, 0, 5]"
57,"['person', 'car']","[0, 2]"
58,['handbag'],[26]
59,"['car', 'backpack', 'person', 'motorcycle', 'truck']","[2, 24, 0, 3, 7]"
61,"['car', 'truck']","[2, 7]"
62,"['person', 'car', 'truck']","[0, 2, 7]"
63,"['fork', 'knife']","[41, 42]"
64,['person'],[0]
65,"['car', 'truck']","[2, 7]"
66,['tv'],[61]
67,"['oven', 'vase']","[68, 74]"
