image_id,object_names,object_ids
1,"['parking meter', 'clock', 'car']","[12, 74, 2]"
2,"['backpack', 'car']","[24, 2]"
4,"['chair', 'couch', 'teddy bear']","[56, 57, 77]"
5,"['chair', 'keyboard']","[56, 66]"
6,"['bottle', 'fork', 'bowl', 'chair', 'apple']","[39, 42, 45, 56, 47]"
7,"['keyboard', 'mouse', 'chair', 'book', 'laptop']","[66, 64, 56, 73, 63]"
10,"['chair', 'bottle', 'keyboard', 'cup']","[56, 39, 66, 41]"
12,"['cup', 'mouse']","[41, 64]"
13,"['scissors', 'keyboard', 'cup', 'mouse', 'chair', 'book']","[76, 66, 41, 64, 56, 73]"
15,"['keyboard', 'mouse']","[66, 64]"
17,"['chair', 'keyboard', 'mouse', 'laptop']","[56, 66, 64, 63]"
19,"['chair', 'keyboard', 'mouse']","[56, 66, 64]"
20,"['bottle', 'keyboard', 'mouse', 'chair', 'book']","[39, 66, 64, 56, 73]"
21,"['couch', 'person']","[57, 0]"
23,"['person', 'car']","[0, 2]"
24,"['bottle', 'bicycle', 'car']","[39, 1, 2]"
25,"['umbrella', 'chair', 'person', 'car']","[25, 56, 0, 2]"
26,"['car', 'bus']","[2, 5]"
27,['chair'],[56]
29,['boat'],[8]
33,"['couch', 'bottle']","[57, 39]"
34,"['chair', 'cup', 'mouse']","[56, 41, 64]"
35,['keyboard'],[66]
37,"['chair', 'couch', 'vase', 'bowl']","[56, 57, 75, 45]"
39,"['chair', 'vase']","[56, 75]"
41,"['cup', 'knife', 'bowl']","[41, 43, 45]"
42,"['couch', 'refrigerator', 'chair', 'tv', 'book']","[57, 72, 56, 62, 73]"
43,['tv'],[62]
44,"['chair', 'book']","[56, 73]"
45,"['parking meter', 'car']","[12, 2]"
47,"['umbrella', 'person', 'clock', 'car']","[25, 0, 74, 2]"
53,"['traffic light', 'motorcycle', 'car', 'person']","[9, 3, 2, 0]"
54,"['person', 'car']","[0, 2]"
55,"['bicycle', 'person', 'bus']","[1, 0, 5]"
57,"['person', 'car']","[0, 2]"
64,['person'],[0]
65,"['car', 'truck']","[2, 7]"
66,['tv'],[62]
67,"['oven', 'vase']","[69, 75]"
68,"['tv', 'laptop']","[62, 63]"
71,['bowl'],[45]
72,"['fork', 'cake', 'person']","[42, 55, 0]"
73,"['bottle', 'fork', 'chair', 'wine glass', 'tie']","[39, 42, 56, 40, 27]"
74,"['chair', 'tv']","[56, 62]"
75,"['oven', 'sink']","[69, 71]"
76,['chair'],[56]
78,"['chair', 'keyboard', 'mouse']","[56, 66, 64]"
82,"['refrigerator', 'oven', 'sink']","[72, 69, 71]"
84,"['bed', 'vase', 'book']","[59, 75, 73]"
85,"['chair', 'couch', 'apple']","[56, 57, 47]"
86,"['person', 'train', 'book']","[0, 6, 73]"
88,"['chair', 'vase', 'book']","[56, 75, 73]"
89,"['chair', 'couch', 'vase']","[56, 57, 75]"
90,"['couch', 'bench', 'chair', 'dining table', 'bicycle', 'sink', 'tv']","[57, 13, 56, 60, 1, 71, 62]"
92,"['spoon', 'banana', 'fork', 'bowl', 'knife']","[44, 46, 42, 45, 43]"
94,"['knife', 'orange']","[43, 49]"
96,"['spoon', 'cup', 'fork', 'chair', 'knife']","[44, 41, 42, 56, 43]"
100,['remote'],[65]
101,"['car', 'boat']","[2, 8]"
102,['car'],[2]
103,"['fire hydrant', 'car']","[10, 2]"
105,"['backpack', 'car', 'truck']","[24, 2, 7]"
107,"['chair', 'keyboard', 'mouse', 'book']","[56, 66, 64, 73]"
108,"['person', 'car', 'truck', 'traffic light']","[0, 2, 7, 9]"
109,"['bicycle', 'car']","[1, 2]"
110,['chair'],[56]
111,"['bottle', 'orange', 'bowl']","[39, 49, 45]"
112,"['chair', 'keyboard']","[56, 66]"
113,"['person', 'car']","[0, 2]"
119,"['chair', 'orange', 'bowl']","[56, 49, 45]"
120,['chair'],[56]
124,"['sink', 'bowl']","[71, 45]"
126,"['person', 'bus']","[0, 5]"
131,"['bench', 'person']","[13, 0]"
132,"['umbrella', 'car']","[25, 2]"
134,['zebra'],[22]
137,"['bicycle', 'car', 'person']","[1, 2, 0]"
138,"['person', 'car']","[0, 2]"
142,"['bench', 'person']","[13, 0]"
143,"['person', 'car']","[0, 2]"
145,['car'],[2]
147,['car'],[2]
148,['person'],[0]
149,"['parking meter', 'car']","[12, 2]"
150,['person'],[0]
151,"['spoon', 'bowl']","[44, 45]"
152,"['chair', 'bottle', 'tie', 'person']","[56, 39, 27, 0]"
153,"['chair', 'bottle', 'cup', 'toaster']","[56, 39, 41, 70]"
155,"['toaster', 'cup', 'apple']","[70, 41, 47]"
156,['chair'],[56]
161,"['person', 'truck']","[0, 7]"
166,['car'],[2]
167,['chair'],[56]
169,['donut'],[54]
170,['bottle'],[39]
172,['chair'],[56]
174,"['bed', 'tv']","[59, 62]"
175,['bus'],[5]
177,['chair'],[56]
178,"['bench', 'vase']","[13, 75]"
180,['chair'],[56]
181,['chair'],[56]
182,['microwave'],[68]
183,"['chair', 'oven']","[56, 69]"
185,['chair'],[56]
186,['bowl'],[45]
187,['bowl'],[45]
190,['bench'],[13]
193,['chair'],[56]
195,"['cake', 'couch', 'knife']","[55, 57, 43]"
198,"['bench', 'car']","[13, 2]"
199,"['sandwich', 'spoon', 'cup', 'fork', 'bowl', 'knife']","[48, 44, 41, 42, 45, 43]"
201,['car'],[2]
202,['boat'],[8]
206,['person'],[0]
207,"['chair', 'couch']","[56, 57]"
208,['person'],[0]
209,['toilet'],[61]
210,"['person', 'bicycle']","[0, 1]"
212,"['chair', 'tv']","[56, 62]"
215,['person'],[0]
217,"['car', 'truck', 'bus']","[2, 7, 5]"
220,['chair'],[56]
224,['car'],[2]
228,"['chair', 'vase']","[56, 75]"
229,"['person', 'car']","[0, 2]"
230,"['bottle', 'vase', 'fork', 'bowl', 'orange']","[39, 75, 42, 45, 49]"
232,"['chair', 'tv']","[56, 62]"
235,['tie'],[27]
236,['car'],[2]
240,"['umbrella', 'motorcycle']","[25, 3]"
243,['car'],[2]
