image_id,object_names,object_ids
2415932,['surfboard'],36
2348662,['pizza'],52
2358249,['car'],2
2404313,['apple'],46
2339803,['dog'],16
2377377,['horse'],17
2417328,['bed'],58
2362215,['bus'],5
2369727,['person'],0
2359741,['dog'],16
2364134,['tie'],27
90,['dining table'],59
2392821,['chair'],55
2411900,['horse'],17
2319447,['snowboard'],31
2357342,['car'],2
2369381,['backpack'],24
150502,['keyboard'],65
2365318,['dog'],16
2377879,['person'],0
1159284,['truck'],7
2397317,['person'],0
2319125,['pizza'],52
2358045,['bench'],13
2397015,['book'],72
2360681,['skateboard'],35
2405309,['bus'],5
2383829,['person'],0
2413890,['umbrella'],25
2359607,['elephant'],20
2383155,['car'],2
2406521,['sandwich'],47
2328709,['dog'],16
2375369,['car'],2
2363292,['surfboard'],36
493,['chair'],55
2354877,['kite'],32
2355439,['spoon'],43
2360963,['apple'],46
2329127,['bench'],13
2330180,['car'],2
2318867,['umbrella'],25
2391103,['bird'],14
2403718,['skateboard'],35
253,['car'],2
2334657,['train'],6
2398787,['frisbee'],29
2334204,['suitcase'],28
2323768,['cat'],15
2412787,['truck'],7
2362297,['horse'],17
2327736,['couch'],56
2378290,['bench'],13
2342194,['bench'],13
2340550,['clock'],73
2365850,['pizza'],52
2376362,['skis'],30
2386233,['dog'],16
2365007,['zebra'],22
1592043,['sink'],70
2384465,['person'],0
2397239,['bowl'],44
3680,['cup'],40
2388795,['bird'],14
2369388,['bird'],14
2365849,['bird'],14
2390773,['car'],2
2366467,['bowl'],44
2346284,['elephant'],20
2326261,['broccoli'],49
2366679,['cow'],19
2346455,['toilet'],60
2337022,['person'],0
2334930,['couch'],56
2332700,['kite'],32
2363104,['backpack'],24
1592070,['tv'],61
2341866,['bottle'],38
2386360,['keyboard'],65
2356069,['dog'],16
2393622,['skateboard'],35
2356121,['chair'],55
2383976,['fire hydrant'],10
2417383,['horse'],17
2344958,['suitcase'],28
2370260,['bed'],58
2405753,['keyboard'],65
2350184,['bowl'],44
2335030,['car'],2
2404734,['tie'],27
2348122,['person'],0
2366733,['snowboard'],31
2321411,['person'],0
2397328,['umbrella'],25
2346162,['truck'],7
2390372,['person'],0
2370407,['vase'],74
2323878,['cup'],40
2367279,['couch'],56
2411931,['umbrella'],25
2321376,['bench'],13
2323761,['vase'],74
2380809,['chair'],55
2319424,['person'],0
2359527,['person'],0
2413283,['knife'],42
